cog_name,type,count
g__Enterococcus_silix_COG_122,core,691
g__Enterococcus_silix_COG_45,core,691
g__Enterococcus_silix_COG_1423,core,691
g__Enterococcus_silix_COG_674,core,691
g__Enterococcus_silix_COG_668,core,691
g__Enterococcus_silix_COG_970,core,691
g__Enterococcus_silix_COG_983,core,691
g__Enterococcus_silix_COG_459,core,691
g__Enterococcus_silix_COG_476,core,691
g__Enterococcus_silix_COG_1382,core,691
g__Enterococcus_silix_COG_398,core,691
g__Enterococcus_silix_COG_456,core,691
g__Enterococcus_silix_COG_484,core,691
g__Enterococcus_silix_COG_1099,core,691
g__Enterococcus_silix_COG_1274,core,691
g__Enterococcus_silix_COG_290,core,691
g__Enterococcus_silix_COG_3858,core,691
g__Enterococcus_silix_COG_773,core,691
g__Enterococcus_silix_COG_762,core,691
g__Enterococcus_silix_COG_1421,core,691
g__Enterococcus_silix_COG_386,core,691
g__Enterococcus_silix_COG_26,core,691
g__Enterococcus_silix_COG_197,core,691
g__Enterococcus_silix_COG_1026,core,691
g__Enterococcus_silix_COG_2374,core,691
g__Enterococcus_silix_COG_939,core,691
g__Enterococcus_silix_COG_1580,core,691
g__Enterococcus_silix_COG_759,core,691
g__Enterococcus_silix_COG_651,core,691
g__Enterococcus_silix_COG_760,core,691
g__Enterococcus_silix_COG_161,core,691
g__Enterococcus_silix_COG_1164,core,691
g__Enterococcus_silix_COG_423,core,691
g__Enterococcus_silix_COG_521,core,691
g__Enterococcus_silix_COG_910,core,691
g__Enterococcus_silix_COG_1510,core,691
g__Enterococcus_silix_COG_1242,core,691
g__Enterococcus_silix_COG_419,core,691
g__Enterococcus_silix_COG_1235,core,691
g__Enterococcus_silix_COG_429,core,691
g__Enterococcus_silix_COG_245,core,691
g__Enterococcus_silix_COG_555,core,691
g__Enterococcus_silix_COG_809,core,691
g__Enterococcus_silix_COG_51,core,691
g__Enterococcus_silix_COG_49,core,691
g__Enterococcus_silix_COG_155,core,691
g__Enterococcus_silix_COG_54,core,691
g__Enterococcus_silix_COG_109,core,691
g__Enterococcus_silix_COG_989,core,691
g__Enterococcus_silix_COG_258,core,691
g__Enterococcus_silix_COG_278,core,691
g__Enterococcus_silix_COG_1029,core,691
g__Enterococcus_silix_COG_756,core,691
g__Enterococcus_silix_COG_388,core,691
g__Enterococcus_silix_COG_316,core,691
g__Enterococcus_silix_COG_745,core,691
g__Enterococcus_silix_COG_301,core,691
g__Enterococcus_silix_COG_3883,core,691
g__Enterococcus_silix_COG_358,core,691
g__Enterococcus_silix_COG_7323,core,691
g__Enterococcus_silix_COG_229,core,691
g__Enterococcus_silix_COG_214,core,691
g__Enterococcus_silix_COG_1019,core,691
g__Enterococcus_silix_COG_610,core,691
g__Enterococcus_silix_COG_597,core,691
g__Enterococcus_silix_COG_920,core,691
g__Enterococcus_silix_COG_1538,core,691
g__Enterococcus_silix_COG_5365,core,691
g__Enterococcus_silix_COG_1591,core,691
g__Enterococcus_silix_COG_522,core,691
g__Enterococcus_silix_COG_7430,core,691
g__Enterococcus_silix_COG_175,core,691
g__Enterococcus_silix_COG_1974,core,691
g__Enterococcus_silix_COG_400,core,691
g__Enterococcus_silix_COG_1599,core,691
g__Enterococcus_silix_COG_5567,core,691
g__Enterococcus_silix_COG_4043,core,691
g__Enterococcus_silix_COG_2471,core,691
g__Enterococcus_silix_COG_1196,core,691
g__Enterococcus_silix_COG_141,core,691
g__Enterococcus_silix_COG_1504,core,691
g__Enterococcus_silix_COG_176,core,691
g__Enterococcus_silix_COG_2779,core,691
g__Enterococcus_silix_COG_582,core,691
g__Enterococcus_silix_COG_1295,core,691
g__Enterococcus_silix_COG_686,core,691
g__Enterococcus_silix_COG_801,core,691
g__Enterococcus_silix_COG_107,core,691
g__Enterococcus_silix_COG_1025,core,691
g__Enterococcus_silix_COG_478,core,691
g__Enterococcus_silix_COG_1589,core,691
g__Enterococcus_silix_COG_854,core,691
g__Enterococcus_silix_COG_1498,core,691
g__Enterococcus_silix_COG_1279,core,691
g__Enterococcus_silix_COG_243,core,691
g__Enterococcus_silix_COG_291,core,691
g__Enterococcus_silix_COG_77,core,691
g__Enterococcus_silix_COG_166,core,691
g__Enterococcus_silix_COG_251,core,691
g__Enterococcus_silix_COG_1596,core,691
g__Enterococcus_silix_COG_1426,core,691
g__Enterococcus_silix_COG_924,core,691
g__Enterococcus_silix_COG_790,core,691
g__Enterococcus_silix_COG_460,core,691
g__Enterococcus_silix_COG_1272,core,691
g__Enterococcus_silix_COG_730,core,691
g__Enterococcus_silix_COG_339,core,691
g__Enterococcus_silix_COG_157,core,691
g__Enterococcus_silix_COG_228,core,691
g__Enterococcus_silix_COG_255,core,691
g__Enterococcus_silix_COG_493,core,691
g__Enterococcus_silix_COG_1186,core,691
g__Enterococcus_silix_COG_1544,core,691
g__Enterococcus_silix_COG_945,core,691
g__Enterococcus_silix_COG_448,core,691
g__Enterococcus_silix_COG_1087,core,691
g__Enterococcus_silix_COG_984,core,691
g__Enterococcus_silix_COG_744,core,691
g__Enterococcus_silix_COG_231,core,691
g__Enterococcus_silix_COG_774,core,691
g__Enterococcus_silix_COG_3094,core,691
g__Enterococcus_silix_COG_825,core,691
g__Enterococcus_silix_COG_46,core,691
g__Enterococcus_silix_COG_473,core,691
g__Enterococcus_silix_COG_154,core,691
g__Enterococcus_silix_COG_997,core,691
g__Enterococcus_silix_COG_105,core,691
g__Enterococcus_silix_COG_1036,core,691
g__Enterococcus_silix_COG_1373,core,691
g__Enterococcus_silix_COG_1237,core,691
g__Enterococcus_silix_COG_3787,core,691
g__Enterococcus_silix_COG_842,core,691
g__Enterococcus_silix_COG_916,core,691
