Bin Id	Completeness	Contamination
ERR1726833.2	58.35	0.0
ERR598996.53	71.54	0.0
ERR2098377.12	30.9	0.0
ERR519454.28	87.12	0.38
ERR4013358.13	58.48	1.04
ERR519458.6	91.29	0.0
ERR519462.64	90.82	0.0
ERR599017.17	74.67	0.0
ERR1726701.24	58.52	0.93
ERR594335.69	55.36	0.0
ERR599046.13	85.7	0.0
ERR599056.13	82.23	0.0
ERR599170.2	74.38	0.0
ERR1726829.2	59.54	0.0
ERR599103.13	65.81	0.0
ERR1726875.19	40.6	0.46
DRR092706.1	57.25	0.0
ERR599174.6	68.99	0.0
ERR599236.12	76.09	0.0
ERR599240.6	63.12	0.0
