ERR599017.17_00212	ERR599017.17_00212
ERR599017.17_00217	ERR599017.17_00217
ERR599017.17_00217	ERR1726875.19_00217
ERR599017.17_00218	ERR599017.17_00218
ERR599017.17_00235	ERR599017.17_00235
ERR599017.17_00254	ERR599017.17_00254
ERR599017.17_00267	ERR599017.17_00267
ERR599017.17_00268	ERR599017.17_00268
ERR599017.17_00303	ERR599017.17_00303
ERR599017.17_00303	ERR1726829.2_00485
ERR599017.17_00303	ERR599170.2_00634
ERR599017.17_00310	ERR599017.17_00310
ERR599056.13_00173	ERR599056.13_00173
ERR599056.13_00173	ERR1726875.19_00572
ERR599056.13_00181	ERR599056.13_00181
ERR599056.13_00185	ERR599056.13_00185
ERR599056.13_00201	ERR599056.13_00201
ERR599056.13_00206	ERR599056.13_00206
ERR599056.13_00207	ERR599056.13_00207
ERR599056.13_00207	ERR1726875.19_00488
ERR599056.13_00209	ERR599056.13_00209
ERR599056.13_00210	ERR599056.13_00210
ERR599056.13_00213	ERR599056.13_00213
ERR599056.13_00213	ERR2098377.12_00420
ERR599056.13_00213	ERR519458.6_00126
ERR599056.13_00213	ERR519462.64_00040
ERR599056.13_00213	ERR599017.17_00449
ERR599056.13_00213	ERR599103.13_00343
ERR599056.13_00213	ERR599174.6_00052
ERR599056.13_00213	ERR4013358.13_00707
ERR599056.13_00246	ERR599056.13_00246
ERR599056.13_00257	ERR599056.13_00257
ERR599056.13_00268	ERR599056.13_00268
ERR599056.13_00274	ERR599056.13_00274
ERR599056.13_00274	ERR599017.17_00137
ERR599056.13_00274	ERR599103.13_00622
ERR599056.13_00284	ERR599056.13_00284
ERR599056.13_00284	DRR092706.1_00614
ERR599056.13_00284	ERR4013358.13_00892
ERR599056.13_00296	ERR599056.13_00296
ERR599056.13_00323	ERR599056.13_00323
ERR599056.13_00323	DRR092706.1_00182
ERR599056.13_00325	ERR599056.13_00325
ERR599056.13_00325	ERR4013358.13_00056
ERR599056.13_00334	ERR599056.13_00334
ERR599056.13_00334	ERR1726829.2_00641
ERR599056.13_00342	ERR599056.13_00342
ERR599056.13_00349	ERR599056.13_00349
ERR599056.13_00360	ERR599056.13_00360
ERR599056.13_00591	ERR599056.13_00591
ERR599056.13_00591	ERR594335.69_00167
ERR599056.13_00609	ERR599056.13_00609
ERR599056.13_00614	ERR599056.13_00614
ERR599056.13_00630	ERR599056.13_00630
ERR599056.13_00630	ERR519454.28_00685
ERR599056.13_00634	ERR599056.13_00634
ERR599056.13_00634	DRR092706.1_00267
ERR599056.13_00638	ERR599056.13_00638
ERR599056.13_00638	ERR1726833.2_00138
ERR599056.13_00639	ERR599056.13_00639
ERR599056.13_00646	ERR599056.13_00646
ERR599056.13_00670	ERR599056.13_00670
ERR599056.13_00670	ERR2098377.12_00547
ERR599056.13_00676	ERR599056.13_00676
DRR092706.1_00515	DRR092706.1_00515
DRR092706.1_00515	ERR1726833.2_00017
DRR092706.1_00515	ERR4013358.13_00448
DRR092706.1_00515	ERR519454.28_00328
DRR092706.1_00515	ERR519458.6_00879
DRR092706.1_00515	ERR519462.64_00483
DRR092706.1_00515	ERR599046.13_00064
DRR092706.1_00515	ERR599170.2_00524
DRR092706.1_00515	ERR599056.13_00637
DRR092706.1_00515	ERR1726875.19_00211
DRR092706.1_00515	DRR092706.1_00556
DRR092706.1_00515	ERR1726829.2_00098
DRR092706.1_00515	ERR1726833.2_00117
DRR092706.1_00515	ERR519454.28_00426
DRR092706.1_00515	ERR519458.6_00408
DRR092706.1_00515	ERR519462.64_00989
DRR092706.1_00515	ERR599017.17_00226
DRR092706.1_00515	ERR599056.13_00681
DRR092706.1_00515	ERR599103.13_00557
DRR092706.1_00515	ERR599170.2_00654
DRR092706.1_00515	ERR599174.6_00424
DRR092706.1_00515	ERR599236.12_00533
DRR092706.1_00515	ERR1726833.2_00211
DRR092706.1_00515	ERR1726875.19_00152
DRR092706.1_00515	ERR4013358.13_00411
DRR092706.1_00515	ERR519454.28_00695
DRR092706.1_00515	ERR519458.6_00862
DRR092706.1_00515	ERR594335.69_00164
DRR092706.1_00515	ERR599046.13_00788
DRR092706.1_00515	ERR599056.13_00404
DRR092706.1_00515	ERR599103.13_00178
DRR092706.1_00515	ERR599174.6_00679
DRR092706.1_00515	ERR599236.12_00606
DRR092706.1_00516	DRR092706.1_00516
DRR092706.1_00516	ERR1726833.2_00016
DRR092706.1_00516	ERR4013358.13_00447
DRR092706.1_00516	ERR519454.28_00329
DRR092706.1_00516	ERR519458.6_00880
DRR092706.1_00516	ERR519462.64_00484
DRR092706.1_00519	DRR092706.1_00519
DRR092706.1_00520	DRR092706.1_00520
DRR092706.1_00520	ERR1726701.24_00353
DRR092706.1_00520	ERR1726833.2_00523
DRR092706.1_00520	ERR1726875.19_00381
DRR092706.1_00520	ERR2098377.12_00579
DRR092706.1_00520	ERR4013358.13_00555
DRR092706.1_00520	ERR519454.28_00603
DRR092706.1_00520	ERR519458.6_00055
DRR092706.1_00520	ERR519462.64_01215
DRR092706.1_00520	ERR594335.69_00583
DRR092706.1_00520	ERR598996.53_00318
DRR092706.1_00520	ERR599017.17_00815
DRR092706.1_00520	ERR599046.13_00221
DRR092706.1_00520	ERR599056.13_00225
DRR092706.1_00520	ERR599103.13_00278
DRR092706.1_00520	ERR599170.2_00726
DRR092706.1_00520	ERR599174.6_00483
DRR092706.1_00520	ERR599236.12_00014
DRR092706.1_00520	ERR599240.6_00555
DRR092706.1_00521	DRR092706.1_00521
DRR092706.1_00521	ERR1726701.24_00352
DRR092706.1_00521	ERR1726833.2_00522
DRR092706.1_00521	ERR1726875.19_00382
DRR092706.1_00521	ERR2098377.12_00578
DRR092706.1_00521	ERR519454.28_00604
DRR092706.1_00521	ERR519458.6_00054
DRR092706.1_00521	ERR519462.64_01216
DRR092706.1_00521	ERR594335.69_00582
DRR092706.1_00521	ERR598996.53_00317
DRR092706.1_00521	ERR599017.17_00814
DRR092706.1_00521	ERR599046.13_00220
DRR092706.1_00521	ERR599056.13_00226
DRR092706.1_00521	ERR599103.13_00279
DRR092706.1_00521	ERR599170.2_00725
DRR092706.1_00521	ERR599174.6_00482
DRR092706.1_00521	ERR599236.12_00013
DRR092706.1_00521	ERR599240.6_00554
DRR092706.1_00523	DRR092706.1_00523
DRR092706.1_00523	ERR1726701.24_00350
DRR092706.1_00523	ERR1726833.2_00520
DRR092706.1_00523	ERR1726875.19_00384
DRR092706.1_00523	ERR2098377.12_00576
DRR092706.1_00523	ERR4013358.13_00115
DRR092706.1_00523	ERR519454.28_00606
DRR092706.1_00523	ERR519458.6_00052
DRR092706.1_00523	ERR519462.64_01218
DRR092706.1_00523	ERR594335.69_00580
DRR092706.1_00523	ERR598996.53_00315
DRR092706.1_00523	ERR599017.17_00812
DRR092706.1_00523	ERR599046.13_00218
DRR092706.1_00523	ERR599056.13_00228
DRR092706.1_00523	ERR599103.13_00281
DRR092706.1_00523	ERR599170.2_00723
DRR092706.1_00523	ERR599174.6_00480
DRR092706.1_00523	ERR599236.12_00011
DRR092706.1_00524	DRR092706.1_00524
DRR092706.1_00524	ERR1726701.24_00547
DRR092706.1_00524	ERR1726833.2_00020
DRR092706.1_00524	ERR519454.28_00400
DRR092706.1_00524	ERR519458.6_00909
DRR092706.1_00524	ERR594335.69_00490
DRR092706.1_00524	ERR599046.13_00003
DRR092706.1_00527	DRR092706.1_00527
DRR092706.1_00528	DRR092706.1_00528
DRR092706.1_00528	ERR1726701.24_00270
DRR092706.1_00528	ERR1726833.2_00282
DRR092706.1_00528	ERR1726875.19_00064
DRR092706.1_00528	ERR2098377.12_00149
DRR092706.1_00528	ERR2098377.12_00190
DRR092706.1_00528	ERR4013358.13_00280
DRR092706.1_00528	ERR519454.28_01126
DRR092706.1_00528	ERR519458.6_00762
DRR092706.1_00528	ERR519462.64_00741
DRR092706.1_00528	ERR594335.69_00185
DRR092706.1_00528	ERR598996.53_00425
DRR092706.1_00528	ERR599017.17_00784
DRR092706.1_00528	ERR599046.13_00030
DRR092706.1_00528	ERR599056.13_00791
DRR092706.1_00528	ERR599103.13_00529
DRR092706.1_00528	ERR599170.2_00141
DRR092706.1_00528	ERR599174.6_00530
