[2021-05-24 16:15:16] INFO: CheckM v1.1.2
[2021-05-24 16:15:16] INFO: checkm taxonomy_wf --threads 24 -x fna life Prokaryote . ../checkmtemp
[2021-05-24 16:15:16] INFO: [CheckM - taxon_set] Generate taxonomic-specific marker set.
[2021-05-24 16:15:18] INFO: Marker set for Prokaryote contains 56 marker genes arranged in 24 sets.
[2021-05-24 16:15:18] INFO: Marker set inferred from 5656 reference genomes.
[2021-05-24 16:15:18] INFO: Marker set written to: ../checkmtemp/Prokaryote.ms
[2021-05-24 16:15:18] INFO: { Current stage: 0:00:02.291 || Total: 0:00:02.291 }
[2021-05-24 16:15:18] INFO: [CheckM - analyze] Identifying marker genes in bins.
[2021-05-24 16:15:19] INFO: Identifying marker genes in 275 bins with 24 threads:
[2021-05-24 16:16:05] INFO: Saving HMM info to file.
[2021-05-24 16:16:05] INFO: { Current stage: 0:00:46.804 || Total: 0:00:49.095 }
[2021-05-24 16:16:05] INFO: Parsing HMM hits to marker genes:
[2021-05-24 16:16:13] INFO: Aligning marker genes with multiple hits in a single bin:
[2021-05-24 16:16:13] INFO: { Current stage: 0:00:08.143 || Total: 0:00:57.239 }
[2021-05-24 16:16:13] INFO: Calculating genome statistics for 275 bins with 24 threads:
[2021-05-24 16:16:14] INFO: { Current stage: 0:00:00.402 || Total: 0:00:57.641 }
[2021-05-24 16:16:14] INFO: [CheckM - qa] Tabulating genome statistics.
[2021-05-24 16:16:14] INFO: Calculating AAI between multi-copy marker genes.
[2021-05-24 16:16:14] INFO: Reading HMM info from file.
[2021-05-24 16:16:14] INFO: Parsing HMM hits to marker genes:
------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id           Marker lineage   # genomes   # markers   # marker sets   0    1    2   3   4   5+   Completeness   Contamination   Strain heterogeneity  
------------------------------------------------------------------------------------------------------------------------------------------------------------
  path/SRR9178500.3    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  path/SRR9178134.4    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  path/SRR5918706.6    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  path/SRR5918629.7    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  path/SRR5917638.9    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  path/SRR5788086.13   Prokaryote (-1)      5656         56            24        3    52   1   0   0   0       91.29            0.52              100.00         
  path/SRR5788011.4    Prokaryote (-1)      5656         56            24        3    50   3   0   0   0       91.29            1.39              66.67          
  path/SRR5788002.5    Prokaryote (-1)      5656         56            24        3    50   3   0   0   0       91.29            1.22              33.33          
  path/SRR5720295.1    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  path/SRR5720240.7    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  path/SRR5720224.8    Prokaryote (-1)      5656         56            24        3    51   2   0   0   0       91.29            1.04              100.00         
  path/ERR519458.6     Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  path/SRR6403635.2    Prokaryote (-1)      5656         56            24        4    52   0   0   0   0       90.91            0.00               0.00          
  path/SRR5902407.7    Prokaryote (-1)      5656         56            24        4    52   0   0   0   0       90.91            0.00               0.00          
  path/SRR5788020.12   Prokaryote (-1)      5656         56            24        4    50   2   0   0   0       90.91            0.93              100.00         
  path/SRR9178532.16   Prokaryote (-1)      5656         56            24        4    52   0   0   0   0       90.82            0.00               0.00          
