[2021-05-24 16:15:16] INFO: CheckM v1.1.2
[2021-05-24 16:15:16] INFO: checkm taxonomy_wf --threads 24 -x fna life Prokaryote . ../checkmtemp
[2021-05-24 16:15:16] INFO: [CheckM - taxon_set] Generate taxonomic-specific marker set.
[2021-05-24 16:15:18] INFO: Marker set for Prokaryote contains 56 marker genes arranged in 24 sets.
[2021-05-24 16:15:18] INFO: Marker set inferred from 5656 reference genomes.
[2021-05-24 16:15:18] INFO: Marker set written to: ../checkmtemp/Prokaryote.ms
[2021-05-24 16:15:18] INFO: { Current stage: 0:00:02.291 || Total: 0:00:02.291 }
[2021-05-24 16:15:18] INFO: [CheckM - analyze] Identifying marker genes in bins.
[2021-05-24 16:15:19] INFO: Identifying marker genes in 275 bins with 24 threads:
[2021-05-24 16:16:05] INFO: Saving HMM info to file.
[2021-05-24 16:16:05] INFO: { Current stage: 0:00:46.804 || Total: 0:00:49.095 }
[2021-05-24 16:16:05] INFO: Parsing HMM hits to marker genes:
[2021-05-24 16:16:13] INFO: Aligning marker genes with multiple hits in a single bin:
[2021-05-24 16:16:13] INFO: { Current stage: 0:00:08.143 || Total: 0:00:57.239 }
[2021-05-24 16:16:13] INFO: Calculating genome statistics for 275 bins with 24 threads:
[2021-05-24 16:16:14] INFO: { Current stage: 0:00:00.402 || Total: 0:00:57.641 }
[2021-05-24 16:16:14] INFO: [CheckM - qa] Tabulating genome statistics.
[2021-05-24 16:16:14] INFO: Calculating AAI between multi-copy marker genes.
[2021-05-24 16:16:14] INFO: Reading HMM info from file.
[2021-05-24 16:16:14] INFO: Parsing HMM hits to marker genes:
------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id           Marker lineage   # genomes   # markers   # marker sets   0    1    2   3   4   5+   Completeness   Contamination   Strain heterogeneity  
------------------------------------------------------------------------------------------------------------------------------------------------------------
  SRR9178500.3    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  SRR9178134.4    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  SRR5918706.6    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  SRR5918629.7    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  SRR5917638.9    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  SRR5788086.13   Prokaryote (-1)      5656         56            24        3    52   1   0   0   0       91.29            0.52              100.00         
  SRR5788011.4    Prokaryote (-1)      5656         56            24        3    50   3   0   0   0       91.29            1.39              66.67          
  SRR5788002.5    Prokaryote (-1)      5656         56            24        3    50   3   0   0   0       91.29            1.22              33.33          
  SRR5720295.1    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  SRR5720240.7    Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  SRR5720224.8    Prokaryote (-1)      5656         56            24        3    51   2   0   0   0       91.29            1.04              100.00         
  ERR519458.6     Prokaryote (-1)      5656         56            24        3    53   0   0   0   0       91.29            0.00               0.00          
  SRR6403635.2    Prokaryote (-1)      5656         56            24        4    52   0   0   0   0       90.91            0.00               0.00          
  SRR5902407.7    Prokaryote (-1)      5656         56            24        4    52   0   0   0   0       90.91            0.00               0.00          
  SRR5788020.12   Prokaryote (-1)      5656         56            24        4    50   2   0   0   0       90.91            0.93              100.00         
  SRR9178532.16   Prokaryote (-1)      5656         56            24        4    52   0   0   0   0       90.82            0.00               0.00          
  SRR9178234.2    Prokaryote (-1)      5656         56            24        4    51   1   0   0   0       90.82            2.08              100.00         
  SRR5918872.19   Prokaryote (-1)      5656         56            24        4    51   1   0   0   0       90.82            1.04               0.00          
  ERR519462.64    Prokaryote (-1)      5656         56            24        4    52   0   0   0   0       90.82            0.00               0.00          
  SRR5720315.3    Prokaryote (-1)      5656         56            24        4    51   1   0   0   0       90.77            0.38              100.00         
  SRR9178113.3    Prokaryote (-1)      5656         56            24        5    50   1   0   0   0       90.36            0.46              100.00         
  SRR5788431.1    Prokaryote (-1)      5656         56            24        5    50   1   0   0   0       90.36            0.46              100.00         
  SRR5720331.1    Prokaryote (-1)      5656         56            24        5    50   1   0   0   0       90.36            0.46              100.00         
  SRR5720245.6    Prokaryote (-1)      5656         56            24        5    49   2   0   0   0       90.36            1.04              50.00          
  SRR9178153.3    Prokaryote (-1)      5656         56            24        5    51   0   0   0   0       90.30            0.00               0.00          
  SRR5788381.13   Prokaryote (-1)      5656         56            24        5    51   0   0   0   0       90.30            0.00               0.00          
  SRR9178441.8    Prokaryote (-1)      5656         56            24        4    52   0   0   0   0       90.25            0.00               0.00          
  SRR6393469.7    Prokaryote (-1)      5656         56            24        4    52   0   0   0   0       90.25            0.00               0.00          
  SRR5788360.1    Prokaryote (-1)      5656         56            24        4    51   1   0   0   0       90.25            0.46              100.00         
  SRR5720306.14   Prokaryote (-1)      5656         56            24        4    52   0   0   0   0       90.25            0.00               0.00          
  SRR5720294.3    Prokaryote (-1)      5656         56            24        4    52   0   0   0   0       90.25            0.00               0.00          
  SRR9178453.2    Prokaryote (-1)      5656         56            24        6    49   1   0   0   0       89.90            0.52              100.00         
  SRR9178437.16   Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR9178165.5    Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR9178088.20   Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR5918839.11   Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR5918489.14   Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR5917686.1    Prokaryote (-1)      5656         56            24        6    48   2   0   0   0       89.90            1.04              50.00          
  SRR5902474.14   Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR5788388.3    Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR5788292.1    Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR5787999.6    Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR5720274.3    Prokaryote (-1)      5656         56            24        6    49   1   0   0   0       89.90            0.38              100.00         
  SRR5720270.9    Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR5720230.13   Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR5720225.6    Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.90            0.00               0.00          
  SRR5918743.6    Prokaryote (-1)      5656         56            24        7    49   0   0   0   0       89.52            0.00               0.00          
  SRR9178207.1    Prokaryote (-1)      5656         56            24        7    49   0   0   0   0       89.44            0.00               0.00          
  SRR9178158.3    Prokaryote (-1)      5656         56            24        7    49   0   0   0   0       89.44            0.00               0.00          
  SRR6393417.9    Prokaryote (-1)      5656         56            24        7    49   0   0   0   0       89.44            0.00               0.00          
  SRR5917514.6    Prokaryote (-1)      5656         56            24        7    49   0   0   0   0       89.44            0.00               0.00          
  SRR9178108.2    Prokaryote (-1)      5656         56            24        7    48   1   0   0   0       89.38            0.38              100.00         
  SRR5917654.8    Prokaryote (-1)      5656         56            24        7    49   0   0   0   0       89.38            0.00               0.00          
  SRR9178112.2    Prokaryote (-1)      5656         56            24        6    50   0   0   0   0       89.32            0.00               0.00          
  SRR9178479.3    Prokaryote (-1)      5656         56            24        8    48   0   0   0   0       89.31            0.00               0.00          
  SRR9178309.2    Prokaryote (-1)      5656         56            24        8    47   1   0   0   0       89.14            0.38               0.00          
  SRR5788010.5    Prokaryote (-1)      5656         56            24        8    48   0   0   0   0       89.06            0.00               0.00          
  SRR5720242.7    Prokaryote (-1)      5656         56            24        8    48   0   0   0   0       89.06            0.00               0.00          
  SRR9178361.4    Prokaryote (-1)      5656         56            24        8    47   1   0   0   0       88.97            0.38              100.00         
  SRR9178360.4    Prokaryote (-1)      5656         56            24        8    47   1   0   0   0       88.97            1.04              100.00         
  SRR5720267.4    Prokaryote (-1)      5656         56            24        8    47   1   0   0   0       88.97            0.38              100.00         
  SRR5918502.5    Prokaryote (-1)      5656         56            24        7    48   1   0   0   0       88.86            2.08              100.00         
  SRR5788364.3    Prokaryote (-1)      5656         56            24        7    47   2   0   0   0       88.86            0.84              50.00          
