mOTU,taxo,motupan_w_ppan,motupan_w_roary,ppanggolin_persist,ppanggolin_shell,roary_core,roary_shell,nb_genomes,mean_completeness_ppan,mean_completeness_roary,mean_est_ppan_cogs,mean_est_roary_cogs,mean_scaff_count,type,genoms_ids
s__Pseudomonas_E hunanensis,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E hunanensis,4073,3606,4324,1435,3270,3159,50,98.93141762828381,98.2455840266223,5599.055224563292,5688.652369585355,124.82692307692308,gtdb,RS_GCF_001293025.1;RS_GCF_000183645.1;RS_GCF_003053335.1;RS_GCF_000264665.2;RS_GCF_000799625.1;RS_GCF_000226475.1;RS_GCF_001320745.1;RS_GCF_000226035.2;GB_GCA_001312145.1;RS_GCF_002906815.1;RS_GCF_000495455.2;RS_GCF_900095365.1;RS_GCF_002165695.1;RS_GCF_002554535.1;RS_GCF_001753855.1;RS_GCF_000007565.2;RS_GCF_001653615.1;RS_GCF_002906755.1;RS_GCF_002948105.1;RS_GCF_000287915.1;RS_GCF_002953115.1;RS_GCF_001183585.1;RS_GCF_900167985.1;RS_GCF_000271965.2;RS_GCF_002906795.1;RS_GCF_000787655.1;RS_GCF_003053385.1;GB_GCA_003504925.1;RS_GCF_003184135.1;RS_GCF_002891885.1;RS_GCF_001077495.1;RS_GCF_000367825.1;RS_GCF_002810225.1;RS_GCF_002094775.1;RS_GCF_002910975.1;RS_GCF_001319995.1;RS_GCF_001655295.1;RS_GCF_900156185.1;RS_GCF_001320165.1;RS_GCF_000294445.2;RS_GCF_003204195.1;RS_GCF_001320085.1;RS_GCF_001320295.1;RS_GCF_002835905.1;RS_GCF_001767335.1;RS_GCF_002901725.1;RS_GCF_000016865.1;RS_GCF_001753955.1;RS_GCF_000633915.1;RS_GCF_002165665.1
s__Burkholderia mallei,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia mallei,5232,5166,5314,781,4834,1603,50,98.84573088685015,98.75055207123499,5851.007696026592,5919.255200641508,122.7559748427673,gtdb,RS_GCF_000756975.1;RS_GCF_001211385.1;RS_GCF_000770515.1;RS_GCF_001202895.1;RS_GCF_001446055.1;RS_GCF_000773235.1;RS_GCF_001976685.1;RS_GCF_001321445.1;RS_GCF_001977435.1;RS_GCF_001976475.1;RS_GCF_001196775.1;RS_GCF_001320395.1;RS_GCF_000774185.1;RS_GCF_001327015.1;RS_GCF_000774195.1;RS_GCF_000959285.1;RS_GCF_001980995.1;RS_GCF_001327315.1;RS_GCF_002111125.1;RS_GCF_001977055.1;RS_GCF_002880845.1;RS_GCF_002887875.1;RS_GCF_000757015.2;RS_GCF_001978565.1;RS_GCF_000774795.1;RS_GCF_001977375.1;RS_GCF_001197355.1;RS_GCF_000774175.1;RS_GCF_001979765.1;RS_GCF_001327035.1;RS_GCF_001979755.1;RS_GCF_001327375.1;RS_GCF_001204275.1;RS_GCF_001977135.1;RS_GCF_001320725.1;RS_GCF_001278925.1;RS_GCF_001977865.1;RS_GCF_000648335.1;RS_GCF_001279175.1;RS_GCF_000012785.1;RS_GCF_002888015.1;RS_GCF_000970935.1;RS_GCF_001211405.1;RS_GCF_001200935.1;RS_GCF_001978585.1;RS_GCF_001979045.1;RS_GCF_001978125.1;RS_GCF_002880835.1;RS_GCF_000773415.1;RS_GCF_001320185.1
s__Clostridium_F botulinum,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F botulinum,2889,2390,2983,724,1846,3131,50,98.35629283489095,96.76977405857741,3729.432459532217,3781.6628315857074,115.29007633587786,gtdb,RS_GCF_001574365.1;RS_GCF_000769495.1;RS_GCF_000730965.1;RS_GCF_000730715.1;RS_GCF_000020345.1;RS_GCF_000019545.1;RS_GCF_002865885.1;RS_GCF_002103885.1;RS_GCF_001573315.1;RS_GCF_001574265.1;RS_GCF_000019305.1;RS_GCF_001573435.1;RS_GCF_000730925.1;RS_GCF_001573905.1;RS_GCF_000730805.1;RS_GCF_001574125.1;RS_GCF_001573295.1;RS_GCF_001574355.1;RS_GCF_000063585.1;RS_GCF_001573235.1;RS_GCF_003058345.1;RS_GCF_000817935.1;RS_GCF_001573255.1;RS_GCF_000711065.1;RS_GCF_001444665.1;RS_GCF_002103855.1;RS_GCF_001573465.1;RS_GCF_000582435.1;RS_GCF_000017065.1;RS_GCF_000711005.1;RS_GCF_001574335.1;RS_GCF_002260585.1;RS_GCF_003058445.1;RS_GCF_000730885.1;RS_GCF_000171075.1;RS_GCF_001573515.1;RS_GCF_000730735.1;RS_GCF_001573985.1;RS_GCF_001573665.1;RS_GCF_002865825.1;RS_GCF_002103805.1;RS_GCF_002104015.1;RS_GCF_002749945.1;RS_GCF_000711055.1;RS_GCF_002866045.1;RS_GCF_001574035.1;RS_GCF_002024465.1;RS_GCF_001879605.1;RS_GCF_001573555.1;RS_GCF_000730875.1
s__Vibrio cyclitrophicus,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio cyclitrophicus,3914,3806,3962,343,3674,825,50,99.70233111905978,99.44066316342617,4343.483336517323,4363.793255090905,106.0,gtdb,RS_GCF_001675965.1;RS_GCF_002875465.1;RS_GCF_000473545.1;RS_GCF_001675885.1;RS_GCF_002874945.1;RS_GCF_001675875.1;RS_GCF_002877745.1;RS_GCF_002874015.1;RS_GCF_002872705.1;RS_GCF_002877375.1;RS_GCF_002874765.1;RS_GCF_000256605.2;RS_GCF_000972275.1;RS_GCF_002874905.1;RS_GCF_002872565.1;GB_GCA_002875125.1;RS_GCF_002873825.1;RS_GCF_002874385.1;RS_GCF_000256245.1;RS_GCF_002873285.1;RS_GCF_002874615.1;RS_GCF_002877625.1;RS_GCF_002875015.1;RS_GCF_002873815.1;RS_GCF_002872625.1;RS_GCF_000256265.2;RS_GCF_002877405.1;RS_GCF_002874035.1;RS_GCF_000256345.2;RS_GCF_001675855.1;RS_GCF_002877465.1;RS_GCF_000256425.1;RS_GCF_002874205.1;RS_GCF_002872695.1;RS_GCF_000256285.2;RS_GCF_001691175.1;RS_GCF_002873375.1;RS_GCF_002873905.1;RS_GCF_002873015.1;RS_GCF_000256305.2;RS_GCF_002874975.1;RS_GCF_002872815.1;RS_GCF_002873745.1;RS_GCF_002873515.1;RS_GCF_002875755.1;RS_GCF_002877705.1;RS_GCF_000256465.2;RS_GCF_001238475.1;RS_GCF_002872635.1;RS_GCF_002873405.1
s__Glaesserella parasuis,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Glaesserella;s__Glaesserella parasuis,1549,1432,1635,1118,735,2210,36,95.4963919374507,95.31399751707016,2119.9536072073606,2179.446476302897,116.38888888888889,gtdb,GB_GCA_000439395.1;GB_GCA_000444685.1;GB_GCA_000444705.1;RS_GCF_000021885.1;RS_GCF_000444545.1;RS_GCF_000444565.1;RS_GCF_000444585.1;RS_GCF_000444605.1;RS_GCF_000444625.1;RS_GCF_000444665.1;RS_GCF_000478405.1;RS_GCF_000558945.1;RS_GCF_000600995.1;RS_GCF_000688815.1;RS_GCF_000688835.1;RS_GCF_000688855.1;RS_GCF_000690655.1;RS_GCF_000690675.1;RS_GCF_000731865.1;RS_GCF_000740985.1;RS_GCF_000742795.1;RS_GCF_000751055.1;RS_GCF_001611775.1;RS_GCF_001938125.1;RS_GCF_001938205.1;RS_GCF_001938215.1;RS_GCF_001938245.1;RS_GCF_001938255.1;RS_GCF_001938285.1;RS_GCF_001938295.1;RS_GCF_001938325.1;RS_GCF_001938335.1;RS_GCF_001938355.1;RS_GCF_001938365.1;RS_GCF_001938405.1;RS_GCF_002015085.1
s__Streptococcus pseudopneumoniae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae,1701,1506,1782,375,1257,1506,23,99.09284308463054,97.51282984006006,2100.2297256710967,2156.157917649246,118.6086956521739,gtdb,GB_GCA_000506665.1;RS_GCF_000221985.1;RS_GCF_000257825.1;RS_GCF_000506685.1;RS_GCF_000506705.1;RS_GCF_000506745.1;RS_GCF_001115245.1;RS_GCF_001121785.1;RS_GCF_001147205.1;RS_GCF_001193755.1;RS_GCF_001206055.1;RS_GCF_001304545.1;RS_GCF_001304565.1;RS_GCF_001304655.1;RS_GCF_001336595.1;RS_GCF_001337855.1;RS_GCF_001339755.1;RS_GCF_002014925.1;RS_GCF_002014955.1;RS_GCF_002087075.1;RS_GCF_002780495.1;RS_GCF_002780525.1;RS_GCF_002866345.1
s__Serratia ureilytica,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia ureilytica,4185,4060,4243,651,3943,1490,32,99.52830047789726,99.45834359605912,4843.082973577758,4885.551752829599,52.46875,gtdb,GB_GCA_002872515.1;RS_GCF_000521905.1;RS_GCF_000633695.1;RS_GCF_000747565.1;RS_GCF_000783975.2;RS_GCF_000988045.1;RS_GCF_001007555.1;RS_GCF_001280365.1;RS_GCF_001714765.1;RS_GCF_001889685.1;RS_GCF_002220515.1;RS_GCF_002220675.1;RS_GCF_002220715.1;RS_GCF_002738155.1;RS_GCF_002751935.1;RS_GCF_002751955.1;RS_GCF_002752085.1;RS_GCF_002752095.1;RS_GCF_002752135.1;RS_GCF_002752155.1;RS_GCF_002752195.1;RS_GCF_002752235.1;RS_GCF_002752255.1;RS_GCF_002752265.1;RS_GCF_002752435.1;RS_GCF_002752495.1;RS_GCF_002752535.1;RS_GCF_002899355.1;RS_GCF_002915435.1;RS_GCF_003071585.1;RS_GCF_900005125.1;RS_GCF_900215455.1
s__Bartonella henselae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella henselae,1357,1284,1393,160,1221,718,24,99.45038688282978,99.41179906542057,1542.7364474237577,1605.4143251235098,31.583333333333332,gtdb,RS_GCF_000046705.1;RS_GCF_000516675.1;RS_GCF_000516695.1;RS_GCF_000516715.1;RS_GCF_000516735.1;RS_GCF_000612765.1;RS_GCF_000612965.1;RS_GCF_000708485.1;RS_GCF_000708545.1;RS_GCF_001291465.1;RS_GCF_001525625.2;RS_GCF_001932075.1;RS_GCF_001932085.1;RS_GCF_001932095.1;RS_GCF_001932135.1;RS_GCF_001932145.1;RS_GCF_001932165.1;RS_GCF_001932175.1;RS_GCF_001932215.1;RS_GCF_001932225.1;RS_GCF_001932235.1;RS_GCF_001932245.1;RS_GCF_001932295.1;RS_GCF_002735245.1
s__Staphylococcus warneri,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus warneri,2055,1803,2126,347,1744,1132,26,99.44871794871794,99.32416485344939,2399.8282431900197,2443.595800188093,113.73076923076923,gtdb,GB_GCA_001196045.1;RS_GCF_000211215.1;RS_GCF_000321085.1;RS_GCF_000494875.1;RS_GCF_000712915.1;RS_GCF_000712925.1;RS_GCF_000736475.1;RS_GCF_000981125.1;RS_GCF_001019115.2;RS_GCF_001073945.1;RS_GCF_001471795.2;RS_GCF_001476975.1;RS_GCF_001477375.1;RS_GCF_001477415.1;RS_GCF_001876385.1;RS_GCF_001876395.1;RS_GCF_002026425.1;RS_GCF_002276895.1;RS_GCF_002901765.1;RS_GCF_002940975.1;RS_GCF_003041395.1;RS_GCF_003042935.1;RS_GCF_003042955.1;RS_GCF_003043195.1;RS_GCF_003043255.1;RS_GCF_003043285.1
s__Flavobacterium psychrophilum,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium psychrophilum,2023,1843,2047,368,1487,1378,50,99.15426594167079,97.50434725990233,2447.5772064594325,2476.2820004303985,93.5,gtdb,RS_GCF_001510795.1;RS_GCF_900186395.1;RS_GCF_900186785.1;RS_GCF_000754405.1;RS_GCF_000831225.1;RS_GCF_002150215.1;RS_GCF_900186425.1;RS_GCF_900186385.1;RS_GCF_001887135.1;GB_GCA_000801645.1;RS_GCF_900186605.1;RS_GCF_001887145.1;RS_GCF_000971735.2;RS_GCF_900186405.1;RS_GCF_000801715.1;RS_GCF_900186515.1;RS_GCF_900186415.1;RS_GCF_900186525.1;RS_GCF_900186545.1;RS_GCF_900186755.1;RS_GCF_900186665.1;RS_GCF_900186815.1;RS_GCF_000767095.1;RS_GCF_000971605.2;GB_GCA_900130145.1;RS_GCF_900186445.1;RS_GCF_900186575.1;RS_GCF_000971575.2;RS_GCF_900186455.1;RS_GCF_900186825.1;RS_GCF_900186375.1;RS_GCF_900186685.1;RS_GCF_900186555.1;RS_GCF_000801695.1;RS_GCF_000739395.1;RS_GCF_000971785.1;RS_GCF_000754365.1;GB_GCA_000801625.1;RS_GCF_002217405.1;RS_GCF_900101925.1;RS_GCF_000831185.1;RS_GCF_900186475.1;RS_GCF_000971685.2;RS_GCF_000831205.1;GB_GCA_002207815.1;GB_GCA_000801635.1;RS_GCF_002150255.1;RS_GCF_002150295.1;RS_GCF_001510875.1;RS_GCF_000064305.2
